popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,332320,2014,0.522,0.567,8,-7.047,1,0.03,0.627,0.0,0.107,0.272,97.825
0,192320,2012-01-01,0.538,0.922,4,-2.713,1,0.0291,0.209,0.197,0.196,0.933,134.141
0,399507,2014,0.543,0.871,1,-6.159,1,0.0504,0.314,3.89e-06,0.0858,0.412,93.485
0,214626,2019-04-01,0.648,0.818,11,-5.967,1,0.603,0.216,0.0,0.131,0.331,106.828
0,133813,2012-01-01,0.527,0.86,0,-4.943,1,0.0703,0.0126,0.0,0.252,0.86,145.372
0,167720,2011-01-21,0.597,0.794,0,-4.883,1,0.0451,0.0863,0.0,0.109,0.781,130.895
0,247293,2011-01-21,0.628,0.559,3,-6.088,1,0.0249,0.0288,0.0,0.103,0.476,147.891
0,199219,2020-01-01,0.543,0.697,7,-6.507,1,0.0276,0.0129,0.018,0.0877,0.619,128.008
0,254280,2020-01-01,0.421,0.697,4,-6.133,0,0.0333,0.000855,0.000213,0.166,0.248,125.004
0,232609,2020-01-01,0.499,0.742,7,-6.445,1,0.0301,0.0048,0.0,0.157,0.282,128.001
0,226559,2020-01-01,0.282,0.692,7,-6.779,1,0.0435,0.068,0.00138,0.107,0.603,130.012
0,189880,2016-12-10,0.561,0.44,0,-8.698,1,0.0328,0.679,0.0,0.101,0.27,85.877
0,210125,2018-12-14,0.508,0.897,1,-3.692,1,0.0362,0.0574,0.00571,0.244,0.3,129.964
0,180697,2018-12-14,0.601,0.941,6,-3.975,1,0.0612,0.0117,0.0159,0.311,0.176,129.958
0,206845,2018-12-14,0.604,0.933,6,-5.488,1,0.0378,0.0175,0.24,0.256,0.249,134.018
0,212627,2012-12-03,0.502,0.925,4,-3.744,1,0.0401,0.212,0.0,0.396,0.538,133.314
0,441920,2012-01-01,0.492,0.603,11,-5.671,0,0.0312,0.079,0.00216,0.102,0.293,163.261
0,247560,2012-01-01,0.704,0.726,11,-7.494,0,0.0284,0.103,0.137,0.16,0.831,124.431
0,181001,2014-03-25,0.62,0.758,6,-4.556,0,0.0351,0.0516,0.0,0.589,0.468,131.975
0,191467,2012-01-01,0.522,0.574,2,-8.047,1,0.168,0.778,0.0,0.0968,0.517,66.782
0,197507,2012-01-01,0.611,0.815,9,-5.649,1,0.0402,0.000338,0.0756,0.253,0.709,116.567
0,229373,2015-04-05,0.617,0.791,4,-6.305,1,0.0343,0.0214,0.0,0.078,0.924,129.803
0,104040,2020-02-14,0.617,0.285,0,-7.695,1,0.0297,0.849,0.0317,0.123,0.203,125.039
0,178133,2021-02-01,0.612,0.278,1,-11.291,1,0.0371,0.844,0.0,0.137,0.635,130.623
0,170867,2012-01-01,0.489,0.929,11,-3.529,0,0.0556,0.00143,2.56e-05,0.0967,0.823,116.104
